"","x","country","sex","bc_cate","education","datasetname","total_n","childless_n","never_in_union_n","prop_childless","prop_neverinunion","hdi","iso3","iso2","continent","year","life_exp","pop","gdp_percap","small_cases","small_cases_n","cont_hdi"
"109",1567,"Czechia","Men","1960-1969","All","GGS",920.067384952065,230.424077244136,130.660020450583,0.250442609979204,0.567041526273089,0.889,"CZE","CZ","Europe",1992,72.4,10315702,14297.02122,1,2,0.8774
"110",1573,"Czechia","Women","1960-1969","All","GGS",890.815556912453,99.3474999574121,38.6780688872751,0.111524208559792,0.389321008619799,0.889,"CZE","CZ","Europe",1992,72.4,10315702,14297.02122,1,2,0.8774
"111",1589,"Estonia","Men","1960-1969","All","GGS",687.07438158989,106.044540166855,41.0362449884415,0.154342154224217,0.38697178491107,0.89,"EST","EE","Europe",1992,69.14,1528715,8245.731835,1,2,0.8774
"112",1595,"Estonia","Women","1960-1969","All","GGS",751.514058291912,57.9393747448921,28.123445212841,0.0770968608046805,0.485394351193276,0.89,"EST","EE","Europe",1992,69.14,1528715,8245.731835,1,2,0.8774
"113",1715,"Italy","Men","1960-1969","All","GGS",125.207170720495,44.2307423947229,28.3726220236754,0.353260457369977,0.641468365384265,0.895,"ITA","IT","Europe",1992,77.44,56840847,22013.64486,1,2,0.8774
"114",1719,"Italy","Women","1960-1969","All","GGS",121.135165742211,25.0069658448775,18.1604444606501,0.206438532457991,0.726215430264609,0.895,"ITA","IT","Europe",1992,77.44,56840847,22013.64486,1,2,0.8774
"115",1608,"France","Men","1960-1969","All","GGS",973.999051064253,215.606854736805,78.6508506238461,0.221362489523187,0.364788265752759,0.903,"FRA","FR","Europe",1992,77.46,57374179,24703.79615,1,2,0.8774
"116",1614,"France","Women","1960-1969","All","GGS",1010.89317029715,130.26262511313,39.0788059979677,0.128858942705924,0.300000141744638,0.903,"FRA","FR","Europe",1992,77.46,57374179,24703.79615,1,2,0.8774
"117",1453,"Austria","Men","1960-1969","All","GGS",770.075473487377,174.71531522274,59.9404598474503,0.226880768493407,0.343075017613847,0.916,"AUT","AT","Europe",1992,76.04,7914969,27042.01868,1,2,0.8774
"118",1455,"Austria","Women","1960-1969","All","GGS",751.784058272839,139.009770423174,37.2648992240429,0.184906515233294,0.268073957036264,0.916,"AUT","AT","Europe",1992,76.04,7914969,27042.01868,1,2,0.8774
