"","country","sex","bc_cate","edu_cate","TotalN","ChildlessN","NeverInUnionN"
"508","Netherlands","Women","1955-1959","High",168,41,18
"509","Netherlands","Women","1960-1964","Low",191,20,12
"510","Netherlands","Women","1960-1964","Medium",222,40,23
"511","Netherlands","Women","1960-1964","High",188,55,32
"512","Netherlands","Women","1960-1964",NA,1,1,1
"513","Netherlands","Women","1965-1969","Low",95,9,5
"514","Netherlands","Women","1965-1969","Medium",173,37,24
"515","Netherlands","Women","1965-1969","High",140,29,16
"516","Netherlands","Women","1965-1969",NA,1,NA,NA
"517","Romania","Men","1925-1929","Low",179,22,17
"518","Romania","Men","1925-1929","Medium",52,11,6
"519","Romania","Men","1925-1929","High",16,4,4
"520","Romania","Men","1930-1934","Low",257,38,31
"521","Romania","Men","1930-1934","Medium",102,16,10
"522","Romania","Men","1930-1934","High",21,4,2
"523","Romania","Men","1935-1939","Low",241,40,30
"524","Romania","Men","1935-1939","Medium",173,24,18
"525","Romania","Men","1935-1939","High",38,6,4
"526","Romania","Men","1940-1944","Low",206,34,26
"527","Romania","Men","1940-1944","Medium",177,42,32
"528","Romania","Men","1940-1944","High",39,8,5
"529","Romania","Men","1945-1949","Low",191,31,25
"530","Romania","Men","1945-1949","Medium",318,47,37
"531","Romania","Men","1945-1949","High",53,12,9
"532","Romania","Men","1950-1954","Low",154,32,23
