country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Burkina Faso,Women,1960-1969,Low,2162.783622711897,12.773083925247192,0
Burkina Faso,Women,1970-1979,High,309.66269662976265,8.116181999444962,4.32669797539711
Burkina Faso,Women,1970-1979,Low,2131.1259383559227,13.249659985303879,0
Burundi,Men,1950-1959,High,88.94043464958668,0.6329360008239746,0.6329360008239746
Burundi,Men,1950-1959,Low,135.3899446874857,3.072362959384918,1.5364159941673279
Burundi,Men,1960-1969,High,295.06422992795706,8.600972980260849,7.025082021951675
Burundi,Men,1960-1969,Low,630.3345326259732,9.688709944486618,6.308784008026123
Burundi,Men,1970-1979,High,608.1268313527107,16.15928004682064,8.962979957461357
Burundi,Men,1970-1979,Low,609.0659696385264,15.654218971729279,6.552722990512848
Burundi,Men,1980-1989,High,104.47757813334465,6.16814199835062,5.385819010436535
Burundi,Men,1980-1989,Low,258.8746172711253,1.7890900000929832,0.777366004884243
Burundi,Women,1960-1969,High,155.5834555104375,1.1127090454101562,0
Burundi,Women,1960-1969,Low,504.19362584501505,20.058431088924408,12.631900012493134
Burundi,Women,1970-1979,High,1171.3486646227539,41.403141900897026,24.864330798387527
Burundi,Women,1970-1979,Low,1938.4636651203036,67.39694807678461,41.504038125276566
Burundi,Women,1980-1989,High,410.4484238140285,21.078749790787697,16.26049381494522
Burundi,Women,1980-1989,Low,540.6542513370514,28.849326938390732,20.409540981054306
Cambodia,Men,1960-1969,High,234.46548369154334,6.900055110454559,0
Cambodia,Men,1960-1969,Low,343.0177690535784,9.72355704009533,0.20888599753379822
Cambodia,Men,1970-1979,High,453.4920381680131,25.81457284092903,7.017662018537521
Cambodia,Men,1970-1979,Low,676.5568051338196,26.952576085925102,13.477185010910034
Cambodia,Women,1960-1969,High,784.0040709897876,58.621822625398636,37.17811779677868
Cambodia,Women,1960-1969,Low,1204.5351301953197,76.25025789439678,44.42348985373974
Cambodia,Women,1970-1979,High,1549.6993825994432,126.3439129255712,78.41201605275273
Cambodia,Women,1970-1979,Low,2247.59707672894,174.035010676831,112.58587981387973
Cameroon,Men,1950-1959,High,95.65645870566368,0.43538698554039,0
Cameroon,Men,1950-1959,Low,170.9741371050477,7.179134160280228,0
Cameroon,Men,1960-1969,High,306.3984484374523,3.7160239815711975,0
Cameroon,Men,1960-1969,Low,373.7744171321392,9.328278928995132,4.093715995550156
Cameroon,Men,1970-1979,High,490.75315154343843,18.20346400141716,12.8989759683609
